real_mbti,minimal,modern,natural,romantic,casual,vintage,individuality,useful
ESFJ,4.5,5,2,2.0,1.5,2.0,1.0,3.5
INFP,3.5,4,4,3.5,3.5,3.5,3.0,4.0
ENFP,4.0,4,4,3.0,4.0,2.5,2.5,4.0
ISTJ,5.0,5,5,3.0,3.0,1.0,1.0,5.0
ESFJ,5.0,5,4,2.5,2.0,1.0,1.0,4.0
INFJ,5.0,5,2,2.5,2.0,2.5,1.5,3.5
ISFP,4.5,4,4,3.5,3.5,3.5,2.5,4.0
INTJ,4.0,4,2,1.5,3.5,2.0,2.0,4.0
ESTP,3.0,3,3,3.0,3.0,3.0,2.5,3.0
ESFJ,5.0,5,2,2.5,3.0,4.0,2.0,4.0
ENFJ,3.5,5,3,4.0,2.0,4.0,1.5,3.5
ENTP,4.0,4,4,3.5,4.5,3.0,4.5,4.0
INTP,4.5,5,4,3.0,4.0,3.0,3.5,4.5
ESFJ,4.5,4,3,2.0,2.5,3.0,2.5,3.0
ESFP,5.0,5,5,5.0,2.5,4.5,1.0,4.5
ESFJ,5.0,5,5,5.0,5.0,5.0,5.0,5.0
ENFP,4.0,3,5,4.5,4.5,3.5,3.5,3.5
ENTP,4.0,3,1,1.5,1.0,3.0,1.0,2.0
INFP,5.0,5,5,3.5,3.5,4.0,1.5,5.0
INFP,4.5,5,2,3.0,2.0,2.0,3.0,3.5
ESTJ,4.0,5,5,4.0,4.0,3.5,2.5,5.0
ENTJ,5.0,5,2,2.5,1.5,3.0,1.5,3.0
ENTJ,4.0,5,3,3.0,3.0,3.0,2.0,4.5
ISTP,3.5,4,2,1.5,2.0,2.5,2.5,3.5
ESTP,4.5,5,3,2.0,2.0,2.0,1.0,4.0
ESTJ,5.0,5,3,3.0,2.5,2.0,1.5,4.0
ISTP,4.5,4,2,3.5,3.0,5.0,5.0,2.5
ENFJ,4.0,4,4,3.5,3.5,3.5,3.0,4.0
INTP,4.5,5,4,3.5,3.0,4.5,2.0,4.0
ENFJ,3.5,4,3,2.5,3.5,3.5,2.5,4.0
ISFJ,5.0,5,5,4.0,2.5,2.0,1.0,4.5
ISFJ,3.5,4,3,2.0,1.5,1.0,1.0,3.0
ISTP,4.0,3,4,3.0,4.5,4.0,4.0,3.5
ESFJ,4.0,3,3,3.0,3.0,3.0,2.5,3.0
ENFP,4.5,5,3,3.0,2.5,3.0,2.0,4.0
INTP,4.0,4,3,3.0,2.5,2.5,1.0,4.0
ENFP,3.5,3,5,3.5,3.5,5.0,3.5,2.5
INFJ,4.0,4,4,3.5,1.5,3.0,1.0,3.0
ISTP,1.5,1,3,2.0,4.0,3.0,2.0,3.0
ENTP,5.0,5,2,2.5,2.5,2.5,2.0,3.5
ENFJ,4.5,5,4,3.5,3.5,4.0,2.5,4.5
ESFJ,4.0,4,4,3.5,3.5,2.5,3.0,4.0
ISTJ,4.0,4,4,3.5,4.0,3.0,4.0,4.0
ENFJ,4.5,5,2,2.0,3.5,2.5,4.0,4.0
INTP,5.0,5,5,5.0,5.0,5.0,5.0,5.0
ISFJ,4.0,4,4,3.0,3.5,2.5,2.5,4.0
ISTJ,4.0,4,2,1.5,3.0,1.5,1.5,4.0
ISTP,4.0,4,4,3.0,2.5,1.0,1.0,4.0
ENFP,3.0,4,5,4.5,1.5,3.0,2.0,3.0
ISTJ,4.5,5,5,3.5,1.5,2.0,2.0,3.0
ESTP,4.0,4,5,3.5,3.0,2.5,1.5,4.0
ISFJ,5.0,5,4,3.5,3.0,3.0,3.0,3.0
ENTJ,4.0,4,4,3.0,2.5,2.5,1.0,4.0
ISFP,4.5,5,5,4.0,4.0,2.5,2.5,5.0
ENTP,3.5,4,3,2.5,2.5,3.5,1.5,3.5
ISFP,4.0,4,4,4.0,4.0,4.0,3.0,4.0
INFP,3.5,3,3,2.0,1.5,1.5,1.0,2.5
ISFJ,5.0,5,3,3.0,3.0,3.5,2.5,4.0
ESFP,4.0,5,4,4.5,4.5,3.5,5.0,4.5
INFJ,4.5,5,3,3.0,3.5,3.0,3.0,4.5
INTP,5.0,5,3,2.5,4.0,3.0,3.5,4.5
ISFP,5.0,5,3,2.0,3.5,2.0,2.0,4.5
ISTJ,4.5,5,3,2.5,3.0,2.0,2.0,4.0
ESTP,5.0,5,5,5.0,5.0,5.0,5.0,5.0
ISFP,5.0,5,5,4.0,3.5,3.5,2.0,5.0
INFJ,4.5,5,3,3.0,3.5,2.0,3.0,4.5
ISFP,3.5,5,3,3.5,4.0,3.0,3.0,5.0
ESFP,3.5,4,4,3.0,3.0,3.5,3.5,3.0
INFP,4.0,4,5,3.0,3.0,3.0,2.0,4.0
ISTJ,3.5,5,3,4.0,3.5,5.0,1.5,5.0
INTJ,4.5,5,2,1.5,2.0,1.0,1.5,3.5
INFJ,3.5,4,4,3.5,4.5,4.5,4.5,4.0
ENFP,3.0,5,1,1.5,4.0,1.0,3.0,4.5
ISFJ,4.0,5,2,2.0,2.5,2.5,1.0,4.5
ESFJ,4.0,4,5,3.5,2.0,2.5,1.5,3.0
INFJ,4.5,4,5,3.5,3.5,2.0,2.5,3.5
INTJ,5.0,5,3,2.5,3.5,2.0,3.5,4.0
INTJ,4.5,5,3,2.0,4.0,2.0,3.0,5.0
ISFJ,4.0,4,5,4.0,2.5,3.0,2.0,3.5
ENFP,5.0,5,3,3.0,4.5,2.5,5.0,4.5
INFP,4.5,5,4,3.5,4.0,2.0,3.0,4.5
INFP,2.0,3,4,3.5,3.5,2.5,2.0,3.5
ISFP,4.0,5,2,2.0,1.5,1.5,1.5,3.5
ISFP,4.5,5,5,3.5,4.0,4.5,2.0,5.0
INFP,3.5,4,5,4.0,3.0,4.0,1.5,4.0
INTJ,3.5,4,2,2.0,2.5,2.5,3.5,3.0
ISFJ,3.5,4,2,2.0,3.0,3.0,2.0,3.5
ISFP,4.0,4,4,3.0,3.5,2.5,2.5,4.0
INFJ,3.5,3,3,3.0,1.5,3.0,1.0,2.5
INFP,3.5,5,4,3.5,2.5,3.0,1.0,4.5
INFP,3.5,3,4,3.0,3.5,3.0,2.5,3.5
ISTJ,4.0,5,2,2.0,2.0,2.5,1.0,4.0
ISFJ,5.0,5,3,2.5,2.5,1.5,1.0,4.5
INTJ,4.5,4,5,3.0,2.5,2.5,1.5,3.5
ISTJ,4.5,5,4,3.5,4.0,3.0,3.0,5.0
ISFP,4.0,5,3,3.0,2.5,2.0,2.5,3.5
INTP,3.5,4,5,3.5,3.0,3.5,1.0,4.5
ENFP,4.5,5,4,3.5,4.0,3.0,2.5,4.5
ESFJ,4.5,5,2,2.0,2.0,1.5,2.0,3.5
INTP,3.0,4,3,2.0,3.0,2.0,2.0,4.0
ISTJ,3.5,4,4,4.0,3.0,3.0,2.0,4.0
ESFP,4.0,5,3,3.5,2.5,2.0,1.5,4.0
INFP,3.5,5,4,2.5,3.5,2.0,2.0,4.5
INFP,4.5,5,3,2.5,3.0,3.0,2.5,4.5
ENTP,4.0,4,3,2.0,3.5,3.0,2.0,4.5
ENFJ,4.5,5,5,5.0,3.5,5.0,3.0,4.5
INFP,5.0,5,2,1.5,3.5,4.5,4.5,4.0
ISFJ,4.5,5,4,3.0,2.5,3.0,1.5,4.0
ISFJ,5.0,5,4,3.0,3.0,2.0,2.5,4.5
ISTJ,3.5,4,1,1.0,3.5,5.0,2.0,4.0
INTP,3.5,5,2,1.5,4.0,1.0,2.0,5.0
ISTJ,2.0,2,3,2.0,2.0,2.5,1.0,2.5
INFJ,4.5,4,1,1.0,3.0,2.0,3.5,3.0
INTJ,3.5,4,2,2.5,4.0,2.5,2.0,4.5
INFP,4.5,5,4,4.0,2.5,3.5,2.5,4.0
INTJ,4.0,4,3,2.0,2.0,2.5,2.0,3.0
ENFP,4.5,4,5,3.5,3.5,3.0,2.5,4.0
ENFP,4.0,3,4,3.0,4.0,3.5,3.0,3.5
ISTJ,4.0,4,4,3.0,2.0,1.5,1.0,3.5
INFP,5.0,5,5,4.5,3.0,3.0,2.5,4.0
ENTP,4.5,5,3,2.5,3.5,2.5,2.5,4.5
INFP,4.5,5,5,5.0,4.5,3.5,4.5,5.0
ISFJ,5.0,5,5,5.0,3.0,1.0,1.0,5.0
ESFP,4.5,5,4,2.5,4.5,1.0,3.0,5.0
INFJ,5.0,5,5,3.0,3.0,1.0,1.0,5.0
ESFJ,4.5,5,5,5.0,4.0,3.5,2.5,5.0
ENFP,5.0,5,5,3.0,3.0,3.5,1.0,5.0
ESTJ,4.5,5,5,4.5,2.5,4.0,1.5,4.0
ISFJ,5.0,5,2,1.5,2.5,2.5,1.0,4.5
INFJ,4.5,5,2,2.0,2.5,4.0,1.5,4.0
ENFP,3.5,4,3,3.5,3.0,3.5,2.0,4.0
ISFJ,5.0,5,4,3.0,2.5,3.0,1.0,4.5
ISFP,4.5,5,5,4.0,3.5,5.0,2.0,5.0
ISFP,4.0,5,3,3.0,3.5,2.0,2.0,4.5
ISFP,5.0,5,5,5.0,5.0,4.5,5.0,5.0
ESTP,4.5,5,2,2.0,2.5,2.0,1.5,4.0
INTP,4.5,5,5,5.0,3.0,3.5,1.0,5.0
ISFP,4.5,5,2,1.5,1.5,1.0,1.0,3.5
INFP,4.0,3,4,4.5,4.0,3.5,4.5,3.5
ISFP,3.0,4,3,2.0,2.5,2.0,2.0,3.5
ENFP,4.5,5,4,2.5,2.0,3.5,3.0,3.5
ESTJ,4.0,5,4,2.5,2.5,3.0,1.5,4.0
ISFP,4.5,5,2,2.0,1.5,2.0,1.0,3.5
ENFJ,4.0,3,3,2.5,2.5,2.5,3.0,2.5
ENTP,4.5,5,3,3.0,3.0,3.0,3.0,4.0
ESTJ,4.0,4,2,1.5,2.0,3.0,1.0,3.5
ISFP,5.0,5,5,3.0,4.0,2.0,2.5,5.0
INTP,3.0,4,3,2.0,2.5,1.5,2.0,3.5
INFP,3.0,3,3,2.0,2.5,4.0,1.0,3.5
ISTP,4.5,4,2,1.5,1.5,2.0,1.0,3.0
INFP,3.5,3,5,3.5,2.0,1.5,1.0,3.0
ENFP,2.5,3,4,4.0,3.0,3.0,3.0,3.0
INFJ,4.0,5,4,3.5,3.5,5.0,2.0,5.0
ENTP,4.0,4,2,1.5,2.5,2.5,2.5,3.0
ISTP,4.0,5,3,2.0,2.0,1.5,1.5,3.5
INTP,3.5,3,2,2.0,2.5,3.5,1.0,3.5
ISFP,4.0,4,3,2.0,3.5,2.5,2.0,4.0
ESFJ,5.0,5,4,2.5,2.5,1.0,1.0,4.5
ISTJ,4.0,4,2,2.0,3.5,3.0,2.5,4.0
ESTP,2.5,3,5,4.5,2.5,4.5,2.0,3.0
ISTP,4.5,5,3,2.0,3.5,2.0,2.0,4.5
ISFJ,4.0,3,5,3.5,2.5,2.5,1.0,3.5
INFP,4.0,5,4,3.5,3.5,3.5,2.0,5.0
INTP,5.0,5,2,2.5,2.0,3.0,1.0,4.0
ENFP,2.5,4,4,2.5,4.5,1.0,5.0,4.0
ENFJ,4.5,4,4,3.0,2.5,1.5,2.0,3.0
INTP,2.5,2,5,3.5,1.5,2.0,1.0,2.0
INFP,4.0,4,3,2.0,3.0,1.5,4.0,3.0
ISFP,4.0,4,3,2.0,2.0,3.0,1.5,3.0
ISFP,3.5,4,2,3.0,1.5,3.5,1.0,3.0
INFP,4.5,4,4,2.5,3.0,2.5,4.0,3.0
ISTP,4.0,4,3,3.0,2.5,3.5,2.5,3.0
ENTJ,5.0,5,3,2.0,1.0,2.0,1.0,3.0
INTP,4.0,5,4,3.5,2.5,3.0,1.5,4.0
INTP,3.5,3,2,2.5,3.0,3.5,2.5,3.0
ISTJ,4.5,5,3,2.5,2.5,2.5,2.5,3.5
ENTP,3.5,3,4,3.0,3.5,3.0,2.0,3.5
ISFP,5.0,5,4,4.0,2.5,3.0,1.5,4.0
INFP,3.5,3,2,1.5,2.5,1.0,1.0,3.5
ISFJ,4.0,5,3,3.5,3.5,2.0,1.5,5.0
INFJ,4.0,4,2,2.0,1.5,2.0,1.0,3.0
INTJ,2.5,4,3,2.5,2.5,4.5,1.0,4.0
ISTJ,3.5,4,5,3.5,2.5,2.0,1.0,4.0
ENTP,3.0,4,4,2.5,2.5,4.5,1.0,4.0
ISFP,4.0,4,4,3.5,3.5,3.5,3.5,3.5
ISFJ,4.0,5,4,4.0,3.5,3.5,2.0,5.0
ISFP,4.0,5,4,4.0,2.0,2.0,2.0,3.5
ENFJ,4.0,4,3,2.5,3.5,4.0,2.5,4.0
ISFJ,2.5,2,5,4.5,2.5,5.0,1.0,3.0
INFP,4.0,4,2,2.5,2.5,3.0,3.0,3.5
ENFP,1.0,1,1,1.0,1.0,1.0,1.0,1.0
ISFJ,3.0,4,4,3.5,4.0,3.0,3.0,4.0
ESTP,5.0,5,5,5.0,3.0,5.0,1.5,5.0
ISTJ,4.5,5,3,2.0,2.0,2.0,1.5,3.5
ISFJ,3.0,4,3,2.5,4.5,4.0,3.0,4.5
ISFP,4.0,4,4,2.5,3.0,2.0,1.5,4.0
ISFP,4.0,4,4,3.0,3.5,2.5,2.5,4.0
ISFJ,5.0,5,5,5.0,3.0,4.0,2.5,4.5
ISFP,5.0,5,5,3.0,4.5,2.0,3.0,5.0
ESTP,3.0,4,5,3.0,3.0,1.5,1.0,4.5
INFP,5.0,5,5,5.0,4.0,4.0,3.0,4.5
ISFP,3.0,3,3,3.5,2.5,2.5,2.0,3.0
ENFP,4.0,5,5,4.0,3.5,3.0,3.0,4.5
ISTP,3.5,3,4,3.5,3.5,3.0,1.5,4.0
ENTP,3.5,4,5,4.0,3.5,3.0,2.0,4.5
ISFJ,5.0,5,3,2.5,4.5,3.0,2.5,5.0
ISTJ,4.0,5,3,2.5,3.0,1.5,2.5,4.0
INFJ,4.0,5,4,3.0,3.5,2.5,3.5,3.5
INFP,3.0,2,4,4.0,2.5,2.5,3.5,2.0
INFJ,4.0,4,2,1.5,3.5,1.0,1.5,4.5
ENTJ,4.0,4,2,1.5,2.0,2.0,2.0,3.0
ENFP,4.5,4,2,1.5,4.0,2.0,3.0,3.5
ENFJ,4.0,4,3,2.5,3.0,2.5,2.5,3.5
INFP,3.5,5,3,2.0,3.5,2.5,2.0,4.5
INFJ,4.0,3,5,4.5,3.0,1.5,1.5,3.5
ENTP,3.5,3,4,4.0,3.5,3.5,3.0,3.0
ENFJ,4.5,5,4,3.0,3.5,2.5,2.0,5.0
INTJ,4.0,5,1,1.0,1.0,1.0,1.0,3.0
ENFJ,5.0,5,2,1.5,2.0,1.5,1.0,4.0
INTP,5.0,5,5,3.0,4.0,5.0,2.0,5.0
ENTP,3.0,3,5,4.0,3.5,3.5,2.0,3.5
ISFJ,4.5,5,4,3.5,2.5,2.0,3.0,3.5
ISFP,3.5,3,4,3.0,3.0,1.5,1.5,3.5
ISFJ,4.5,5,4,3.5,2.5,3.5,2.0,3.5
ISFP,4.0,4,2,2.0,2.0,3.0,1.5,3.0
INFJ,3.0,3,4,3.5,3.0,4.0,2.0,3.5
ESTP,4.0,3,4,3.5,2.5,3.0,1.5,3.0
INTJ,1.5,1,3,4.0,3.5,4.5,4.5,1.5
ISTP,4.0,4,4,4.0,3.5,4.5,2.0,4.5
ENTJ,3.0,4,3,2.0,2.0,3.0,1.0,3.5
INFJ,3.5,4,3,3.0,2.5,3.0,1.5,3.5
ENFP,2.5,3,5,4.0,3.5,4.5,2.0,3.5
ENTP,4.0,3,4,4.0,3.5,4.0,4.5,3.0
ENFP,3.5,5,2,2.5,3.5,1.5,1.5,5.0
ESTP,3.5,5,4,3.5,2.0,4.0,1.5,3.5
ENTJ,2.5,4,1,1.0,1.0,1.0,1.0,2.5
INTP,3.0,3,4,3.5,1.5,4.0,1.5,2.0
ISFJ,3.5,4,3,2.5,2.5,3.5,2.5,3.5
INFP,4.0,3,3,2.5,3.5,5.0,4.0,3.5
INFP,1.5,1,1,1.0,2.5,2.0,2.5,1.0
INFP,5.0,5,1,1.0,2.0,3.5,1.0,4.0
INTJ,4.5,5,5,4.5,4.5,4.0,4.0,5.0
ESTP,3.0,2,3,2.5,3.0,3.5,2.0,2.5
INTP,4.0,4,4,3.0,2.0,3.5,3.5,3.0
INFP,4.0,3,4,4.5,2.5,5.0,2.5,2.0
ISTP,3.5,4,2,2.0,2.0,1.5,1.0,3.5
ISFJ,2.5,3,5,3.0,2.5,1.5,1.0,3.5
ISTP,3.5,3,2,1.5,2.5,3.0,1.5,3.0
ENFJ,4.0,4,3,3.0,3.0,3.5,3.5,3.0
INFP,4.5,4,4,3.0,4.0,2.5,2.5,4.5
ENTP,4.0,4,3,3.0,2.5,4.0,2.0,3.5
INFJ,4.5,4,5,4.5,4.5,5.0,4.5,4.5
ISTP,3.5,4,4,4.0,2.5,2.5,1.5,4.0
INTJ,3.0,3,5,4.5,2.0,3.5,1.5,2.5
INFP,5.0,5,4,3.0,3.5,3.0,2.0,4.5
ISFJ,4.5,5,2,1.5,1.5,2.0,1.0,3.5
INFP,5.0,5,4,3.5,3.0,3.0,1.5,4.5
ISTJ,4.0,4,5,4.0,3.5,3.0,1.5,4.5
INTJ,4.5,5,3,2.0,2.5,2.0,1.5,4.0
ENTP,3.5,3,4,4.0,3.5,4.0,2.5,3.5
ENTJ,4.0,4,5,3.5,3.0,3.0,1.0,4.5
ESFJ,4.5,5,2,1.5,1.5,2.5,1.0,3.5
ENFP,3.5,4,2,2.5,3.5,2.5,3.0,3.5
INTJ,4.0,4,4,3.0,3.0,4.0,3.5,3.0
ESFJ,1.0,1,1,1.0,1.0,1.0,1.0,1.0
INTJ,4.0,4,2,1.5,2.5,2.0,1.5,3.5
INFJ,4.0,4,4,3.5,3.5,3.5,2.5,4.0
ENFP,4.0,4,4,3.5,3.0,3.0,2.5,3.5
ISFP,4.5,5,3,2.0,5.0,1.5,4.0,5.0
INTP,4.0,5,4,3.5,2.5,3.0,1.0,4.5
ISFP,4.5,5,2,2.5,2.5,2.5,2.0,4.0
INFP,5.0,5,5,3.0,3.5,2.5,2.5,4.0
ISTP,3.5,3,3,2.0,2.5,1.5,1.5,3.5
ISTJ,4.5,5,4,3.5,2.0,2.5,1.0,4.0
ENFP,4.5,5,3,3.5,3.0,3.5,2.0,4.5
ISFP,2.5,3,5,4.0,2.5,3.5,1.5,3.5
INFP,4.0,4,3,2.5,3.5,3.5,2.5,4.0
ENFJ,3.5,3,2,1.5,3.0,2.0,2.5,2.5
ESFP,4.5,5,5,4.0,3.5,3.0,2.0,5.0
INTP,4.5,5,3,2.5,3.5,2.0,3.0,4.0
INFP,3.0,4,3,3.5,3.0,2.0,1.0,4.5
ISTP,4.5,5,2,2.0,2.0,3.0,2.5,3.5
ENTP,4.0,5,1,1.0,3.0,3.0,3.0,4.5
INFJ,4.5,5,5,3.5,3.5,3.5,3.0,5.0
INFJ,5.0,5,4,3.5,4.0,3.0,3.5,4.5
ENFJ,3.0,3,4,4.0,3.5,4.0,2.0,3.5
ENTJ,3.5,4,5,3.0,2.0,3.0,2.0,3.5
INFP,4.0,4,5,3.5,4.5,2.5,3.5,4.5
ISTJ,4.0,4,5,4.5,3.5,4.5,1.5,4.5
ESTJ,3.0,4,3,3.0,3.0,3.0,1.5,4.0
INFP,4.0,5,2,2.5,2.0,2.0,3.0,3.5
ISFP,4.5,5,4,3.0,3.5,3.5,3.5,4.5
INFP,5.0,5,4,3.0,4.5,4.0,3.5,5.0
ISFP,4.5,5,2,2.0,3.0,2.5,2.5,4.0
INFJ,4.5,5,2,1.5,2.0,1.0,2.0,3.5
INTJ,5.0,5,1,1.0,2.5,3.5,1.0,4.5
ESTP,4.0,5,2,2.0,2.0,1.5,1.5,4.0
ISFJ,5.0,5,5,5.0,3.0,3.0,1.0,5.0
INFP,2.5,2,5,5.0,1.5,2.5,1.0,2.0
ENTP,4.5,5,5,4.5,3.5,3.0,2.0,5.0
INFJ,3.5,3,4,3.5,2.5,3.5,2.0,3.0
INFP,3.5,3,4,3.0,4.5,3.5,4.0,4.0
INFP,4.0,5,4,4.0,3.0,3.0,1.5,4.5
INFJ,3.5,4,5,4.5,3.5,4.0,1.5,4.5
ESTJ,4.5,5,2,1.5,3.0,2.0,1.5,4.5
ISFP,4.5,5,3,3.0,1.5,2.5,1.0,3.5
INFJ,4.0,4,2,1.5,3.0,4.5,3.0,3.5
INTP,3.0,4,4,3.5,2.0,4.0,2.0,3.0
ISFP,4.0,3,3,3.0,2.5,3.0,2.0,3.0
ENFP,3.5,2,3,2.5,3.0,1.5,1.5,3.0
ISFJ,3.5,3,3,3.0,3.0,2.5,2.0,3.5
ESTP,4.5,4,4,3.0,2.5,2.5,2.0,3.5
ISTJ,4.5,5,3,2.5,3.0,2.0,2.0,4.5
ISTP,3.0,5,2,2.0,2.5,3.5,1.5,4.0
ENTJ,5.0,5,5,3.5,3.5,3.5,2.0,5.0
INFP,3.5,3,2,2.0,2.0,3.0,2.5,2.5
INTJ,4.0,3,4,3.5,2.0,3.5,3.0,2.5
INFJ,4.5,5,3,2.0,3.0,1.5,2.0,4.0
ENFP,4.0,3,5,3.5,2.5,4.0,2.0,3.0
ESFJ,5.0,5,4,3.5,3.5,3.5,3.0,4.5
INTP,4.0,5,4,4.5,2.5,4.0,2.0,4.0
INTJ,3.0,4,5,3.0,2.0,2.0,1.0,3.5
INFJ,4.0,4,3,3.5,3.5,3.5,3.5,3.5
ESTJ,4.5,5,2,2.5,3.5,3.0,2.0,4.5
ISFP,4.5,4,5,4.5,4.0,4.0,3.5,4.0
INTJ,3.5,5,3,4.0,3.5,2.5,3.0,4.5
ENTP,4.0,4,2,2.0,2.5,2.5,1.5,3.5
INFP,5.0,5,4,4.5,4.0,4.5,2.5,5.0
INFJ,4.5,5,4,2.5,2.5,2.0,1.5,4.5
INFJ,4.5,5,5,5.0,5.0,3.5,5.0,5.0
ESTP,4.5,5,2,1.5,2.0,2.5,2.5,4.0
ESTP,4.5,5,5,4.5,2.5,2.0,1.0,4.5
INTJ,4.0,4,3,2.5,3.0,2.0,3.0,3.5
ISFP,4.0,4,4,3.5,3.5,3.5,3.0,4.0
INFJ,4.0,4,4,4.5,4.5,3.5,3.0,4.5
ENTP,5.0,5,3,2.5,3.0,3.0,2.0,4.0
ISTJ,4.5,5,4,3.0,2.5,3.0,1.0,4.5
ENTJ,3.5,5,4,3.0,2.5,1.5,1.5,4.0
INFP,4.0,4,5,3.5,3.5,2.0,1.5,4.5
ISFP,3.5,4,4,3.5,3.5,4.0,1.5,4.5
ISFP,5.0,5,4,2.5,2.5,3.0,2.5,4.0
ISTP,2.5,2,2,2.5,2.5,3.0,3.0,2.0
ESFJ,4.5,5,4,3.5,2.5,3.0,2.0,3.5
ENFP,3.0,4,3,2.0,4.5,1.5,4.0,4.5
INFP,3.0,4,4,3.0,2.0,1.5,1.0,3.5
ENFJ,4.5,5,4,3.0,3.5,2.5,4.0,4.0
INTP,4.0,5,5,4.5,4.0,4.0,2.5,5.0
INFJ,3.0,5,3,4.0,1.0,1.0,1.0,3.0
ESTJ,3.5,3,2,2.0,2.0,2.0,1.5,2.5
ENFJ,5.0,5,3,3.0,3.0,1.0,1.0,5.0
ISTJ,3.0,4,2,2.5,2.5,4.0,1.0,4.0
INFP,3.5,4,4,3.5,3.5,4.0,2.5,4.0
ISFP,4.5,5,3,2.0,1.0,1.0,3.0,3.0
ISFJ,5.0,5,4,3.0,3.5,2.0,2.5,4.5
ISTJ,3.5,4,2,2.5,2.0,3.5,1.0,3.5
INTP,5.0,5,1,1.0,1.0,3.0,3.0,3.0
ESTP,5.0,5,4,4.5,3.0,3.5,2.5,4.0
ISFP,4.5,4,4,2.5,3.5,3.0,4.0,3.0
ESTP,4.5,4,5,4.5,3.5,3.0,3.0,3.0
INTJ,4.0,4,3,2.0,2.5,2.0,1.0,4.0
ESFP,5.0,5,5,4.0,2.5,2.5,1.5,4.0
ENFJ,4.5,5,3,3.0,2.5,3.0,2.0,4.0
ESTJ,4.5,5,4,3.0,3.0,2.5,2.5,4.0
INFJ,3.5,4,3,2.5,3.0,2.0,1.5,4.0
ISFJ,3.5,4,4,3.5,4.0,2.5,3.0,4.0
ENTJ,4.0,4,5,3.0,3.0,3.0,1.0,4.5
ISFJ,4.0,4,2,2.0,2.0,2.0,1.5,3.0
ISTP,5.0,5,3,3.0,3.0,4.0,2.5,4.0
ENTJ,5.0,5,2,1.5,3.0,2.0,2.0,4.0
INFJ,4.0,3,5,4.5,2.5,3.5,2.0,3.0
ISTP,4.0,5,2,2.0,3.5,2.0,1.5,5.0
INFP,4.0,4,3,2.0,2.0,3.0,1.0,3.5
ISTJ,4.5,4,4,4.0,4.0,3.0,4.0,4.0
ISTP,3.5,4,3,4.0,1.5,3.0,1.0,3.0
INFP,3.5,4,5,4.5,2.0,3.5,1.5,3.0
ENFJ,4.5,4,5,4.5,5.0,4.0,5.0,4.5
INFP,4.0,4,4,3.5,2.0,1.5,1.5,3.0
INFP,4.5,5,5,4.0,5.0,4.0,5.0,5.0
ENFP,4.0,4,3,3.0,4.0,1.5,2.5,4.0
INTP,4.5,4,5,3.5,3.0,1.5,1.5,4.0
ISTP,4.0,4,2,1.5,3.0,3.0,1.5,4.0
ISFP,5.0,5,3,2.0,3.0,2.0,1.5,4.5
ENTP,3.5,5,1,1.5,3.0,1.0,3.0,4.5
ISTP,4.5,4,5,5.0,3.0,3.5,1.0,4.5
INTJ,4.5,5,3,2.5,2.0,3.0,1.0,4.0
INTP,4.0,4,4,3.0,3.0,1.0,2.5,3.0
ENTP,5.0,5,5,4.5,2.0,2.0,1.0,4.0
INFJ,4.0,4,5,4.5,4.0,3.5,2.5,4.5
INTP,5.0,5,4,3.0,3.5,3.0,4.5,4.0
